,b,z_theta,z_ang,z_bilat_90ci_left,z_bilat_90ci_right
0,-13,2.435324939089366,0.5579249390893661,-0.008742276,0.0074910144
1,-12,2.6431009789281568,0.765700978928157,,
2,-11,2.8512904961877545,0.9738904961877548,-0.010191172,0.009033915
3,-10,2.9841725548082074,1.1067725548082077,,
4,-9,3.1060994697087487,1.228699469708749,-0.014484818,0.011969884
5,-8,3.241880426304885,1.364480426304885,,
6,-7,3.380405547218867,1.5030055472188677,-0.028695976,0.023807732
7,-6,3.519318165379115,1.6419181653791153,,
8,-5,3.665596993761607,1.7881969937616071,-0.11379403,0.09453159
9,-4,3.81826642354066,1.94086642354066,,
10,-3,3.997089835005351,2.1196898350053512,-0.33226234,0.3299231439999995
11,-2,4.223397882776805,2.345997882776805,,
12,-1,4.40635612805421,2.52895612805421,-1.3121152,1.5031278
